name,lat,lon,LMV,MAV
Vaniyambadi,12.648554,78.5833,?85-110,?280-380
Nanguneri,8.527035,77.663289,?55-75,?180-250
Kodai Road,10.194488,77.909317,?65-85,?200-300
Ludhawai,27.178509,77.416845,?110-140,?350-450
Etturvattam,9.385445,77.914347,?50-70,?160-220
Kappalur,9.844294,78.011209,?70-90,?220-320
Salaipudhur,8.975702,77.774608,?60-80,?200-280
Paliyekkara,10.442868,76.260179,?65-85,?210-300
Valavanthankottai,10.744371,78.834044,?75-95,?240-340
Karbylu (Bellur Cross),12.962828,76.765205,?85-110,?280-380
Pudukottai (Vagaikulam),8.755472,78.065264,?60-80,?200-280
Samayapuram,10.92937,78.744056,?80-110,?250-350
Sengurichi,11.706434,79.322335,?85-110,?280-380
Korai,27.114895,77.715981,?110-140,?350-450
Khalghat  (Indore - Khalghat),22.173782,75.456797,?90-120,?300-400
Parsoni Khem,26.451663,85.022711,?100-130,?350-450
Kishangarh (Badgaon),26.595329,74.939169,?95-125,?320-420
Maithi,26.112648,85.564827,?100-130,?350-450
Tatiyawas,27.089775,75.7415,?110-140,?350-450
Chiddan,31.617167,74.692378,?120-150,?400-500
Dappar,30.527449,76.813037,?110-140,?350-450
Gogunda (Jaswantgarh),24.766166,73.523999,?95-125,?320-420
Kurali (Behrampur),30.842218,76.568495,?100-130,?350-450
Jojro Ka Khera,25.082922,74.624379,?95-125,?320-420
Kedi,26.104125,74.685331,?90-120,?300-400
Khandi Obari,23.993636,73.627895,?95-125,?320-420
Narayanpura,24.613529,74.233079,?85-110,?280-380
Malera,24.712368,73.093755,?80-110,?250-350
Ghoti,19.708905,73.614819,?90-120,?300-400
Vaghasia,22.42301,71.088805,?120-150,?400-500
Lakhanpur/ Rajbagh,32.382605,75.598788,?70-90,?220-320
Dhumiyani,21.751451,70.326793,?85-110,?280-380
Chandwad,20.325014,74.210751,?80-110,?250-350
Khedshivapur,18.3313849,73.8525197,?85-110,?280-380
Baswant (Pimplegaon),20.141701,73.976492,?90-120,?300-400
Sendurwafa,21.088119,80.032855,?100-130,?350-450
Shirpur,21.319718,74.889291,?110-140,?350-450
Gondhkhairi/ Kondhali,21.137001,78.89666,?120-150,?400-500
Chandimandir,30.738834,76.897977,?110-140,?350-450
Dighal,28.776746,76.621688,?95-125,?320-420
Dhilwan,31.499318,75.323065,?100-130,?350-450
Gangaycha Jatt,28.275006,76.613363,?85-110,?280-380
Nijjarpura,31.577704,74.997072,?110-140,?350-450
Panipat Elevated,29.433664,76.97014,?85-110,?280-380
Gharaunda (Karnal),29.584373,76.978792,?110-140,?350-450
Sambhu(Ghaggar),30.403832,76.736825,?95-125,?320-420
Ladowal,30.990725,75.790082,?100-130,?350-450
Karanja (Ghadge),21.162103,78.399287,?85-110,?280-380
Srinagar,28.00548,77.332377,?110-140,?350-450
Mahuvan,27.337188,77.737458,?100-130,?350-450
Lalanagar,25.266948,82.491513,?90-120,?300-400
Salemgarh,26.631703,84.238336,?85-110,?280-380
Muziana Hetim,26.733855,83.808555,?90-120,?300-400
Chaukadi,26.781312,82.417008,?95-120,?320-420
Katoghan,25.749487,81.170481,?80-110,?250-350
Gurapalli,19.638154,85.140017,?75-95,?240-340
Srirampur,20.678864,86.165581,?80-110,?250-350
Gudipada (Old Gangapada),20.20348,85.668597,?85-110,?280-380
Sergarh,21.429889,86.836645,?90-120,?300-400
Panikholi,20.897746,86.21625,?85-110,?280-380
Manguli,20.540387,85.96387,?70-90,?220-320
Krishnavaram,17.215448,82.1107,?80-110,?250-350
Rolmamda,19.28019,78.409222,?75-95,?240-340
Manoharabad,17.801103,78.471683,?80-110,?250-350
Gamjal,19.026592,78.362705,?85-110,?280-380
Pippalwada,19.781093,78.565772,?90-120,?300-400
Pundag,23.542635,85.503153,?95-125,?320-420
Sikandra,26.944488,76.557567,?100-130,?350-450
Rajadhok,26.859184,76.105596,?95-125,?320-420
Amoli,27.101301,77.090874,?110-140,?350-450
Thikariya (Jaipur),26.843328,75.615578,?100-130,?350-450
Barkheda (Chandlai),26.68816,75.904726,?90-120,?300-400
Sonwa (Sonva),26.109852,75.744832,?85-110,?280-380
Lambiya Kalan,25.5938407,74.5948394,?75-95,?240-340
Hoskote,13.059436,77.770734,?70-90,?220-320
Bagepalli,13.793094,77.764384,?65-85,?200-300
Kirasave,12.958304,76.623563,?80-110,?250-350
Shanthigrama,12.982709,76.228913,?75-95,?240-340
Bann,32.838928,74.940536,?120-150,?400-500
Harsa Mansar,32.058621,75.614278,?110-140,?350-450
Arjunali,19.361481,73.165874,?85-110,?280-380
Mansar (Kamptee - Kanhan Bypass)/ Tekadi,21.382332,79.253327,?90-120,?300-400
Borkhedi (Nagpur ByPass),20.85612,78.963632,?85-110,?280-380
Laling (Dhule),20.833054,74.754192,?80-110,?250-350
Vanana,21.664929,69.709536,?70-90,?220-320
Ait,25.879908,79.210298,?95-120,?320-420
Vighakhet,24.789564,78.448812,?85-110,?280-380
Khemana,24.241335,72.462709,?75-95,?240-340
Laxmipuram,18.05799,83.52111,?80-110,?250-350
Raje(Old Naraur),26.225984,86.153489,?100-130,?350-450
Chilakapalem,18.273462,83.807965,?85-110,?280-380
Indalwai,18.538266,78.239734,?80-110,?250-350
Sardewadi / Indapur,18.844903,73.09453,?90-120,?300-400
Itunja (Barabhari),27.503818,80.752729,?110-140,?350-450
Ahmadpur,26.858314,81.422445,?95-120,?320-420
Ronahi,26.763728,82.006302,?90-120,?300-400
Nawabganj,26.623172,80.694765,?85-110,?280-380
Shahjahanpur,27.99978,76.430522,?120-150,?400-500
Manoharpur,27.3056399,75.9535128,?100-130,?350-450
Daulatpura,27.0868994,75.8345568,?95-125,?320-420
Raikal,17.005867,78.194493,?75-95,?240-340
Shakhapur,16.535645,77.944453,?70-90,?220-320
Gudur (Hyd-Yadgiri),17.485724,78.8217,?80-110,?250-350
Pullur,15.887742,78.016978,?75-95,?240-340
Vempadu,17.397831,82.67582,?85-110,?280-380
Panthangi,17.232887,78.960464,?80-110,?250-350
Paschim Madati,26.568967,88.275366,?110-140,?350-450
Rampura,22.24076,87.39207,?95-120,?320-420
Rasoiya Dhamna,24.3234,85.3881,?90-120,?300-400
Ghanghri,24.030104,85.948614,?100-130,?350-450
Keesara,16.718077,80.324314,?80-110,?250-350
Kaza,16.3856,80.53367,?75-95,?240-340
Budhanam,14.059589,79.894624,?70-90,?220-320
Marur,14.499817,77.631127,?65-85,?200-300
Debra,22.397144,87.522855,?95-120,?320-420
Sonapetya,22.335479,87.869477,?90-120,?300-400
Bellupada,19.111282,84.699281,?85-110,?280-380
Madapam,18.377344,84.000528,?80-110,?250-350
Aganampudi,17.685435,83.149931,?75-95,?240-340
Balgudar,25.250014,86.034744,?100-130,?350-450
Saukala,24.599579,84.70284,?95-120,?320-420
Ponnambalapatti,10.536361,78.257067,?65-85,?200-300
Main Toll (Panchvati colony) (Sheela Nagar),17.713856,83.212186,?85-110,?280-380
Kasaba (Bijapur),16.786741,75.739648,?90-120,?300-400
Venkatachalam (Old Nellore),14.312218,79.916296,?75-95,?240-340
Undavariya/ Sirohi,24.633512,72.907078,?85-110,?280-380
Indore Dewas (Indore side),22.959586,76.084165,?110-140,?350-450
Nathavalasa/ Vizianagaram,18.057967,83.521081,?85-110,?280-380
Pottipadu,16.572341,80.862502,?80-110,?250-350
Kalaparru,16.676408,81.022129,?75-95,?240-340
Sullurpet,13.744936,79.990993,?70-90,?220-320
Sunambatti (Musunuru),14.851896,79.987757,?65-85,?200-300
Bolapalli,15.886754,80.070843,?60-80,?180-250
Tanguturu,15.358166,80.040105,?70-90,?220-320
Kasepalli,15.061783,77.630325,?85-110,?280-380
Tasawade,17.365756,74.122928,?80-110,?250-350
Kini,16.8767054,74.2983001,?75-95,?240-340
Amakathadu,15.48468,77.897632,?90-120,?300-400
Bhalgam (Belgaum),23.912341,71.783991,?85-110,?280-380
Laxmannath,13.1955,77.652944,?95-120,?320-420
Varwade,17.957588,75.331066,?110-140,?350-450
Gwalior Bypass (Mehra),26.197589,78.240691,?90-120,?300-400
Surajbari,23.233738,70.689457,?85-110,?280-380
Sawaleshwar,17.764629,75.75589,?80-110,?250-350
Chitora,23.725268,78.809133,?70-90,?220-320
Bakoli,23.780036,79.464288,?75-95,?240-340
Guilalu,14.053778,76.560573,?85-110,?280-380
Karjeevanhalli,13.612918,76.953866,?85-110,?280-380
Navayuga Devanahalli / Sadahalli / Pujanahalli,13.19355,77.649812,?95-120,?320-420
Kaythsandra/Tumkur/Chokkanahalli,13.302065,77.161956,?90-120,?300-400
Kherki Daula,28.395604,76.98176,?120-150,?400-500
Palsit,23.178722,88.026395,?110-140,?350-450
Badauri,26.126972,80.585425,?100-130,?350-450
Nivedita Setu,22.654373,88.325118,?110-140,?350-450
Dankuni,22.698891,88.288862,?110-140,?350-450
Jaladhulagori (Dhulagarh),22.57319,88.181739,?105-135,?340-440
Surjapur,25.933485,87.843205,?95-120,?320-420
Beliyad,23.763627,86.79803,?90-120,?300-400
Hariabara,26.152636,87.445216,?100-130,?350-450
Barsoni,25.804671,87.59074,?95-120,?320-420
Kharik,25.385796,87.01154,?90-120,?300-400
Maranga,25.728646,87.458249,?95-120,?320-420
Boriach,20.885548,73.052162,?85-110,?280-380
Bhagwada,20.43495,72.917204,?80-110,?250-350
Charoti,19.890544,72.942644,?75-95,?240-340
Khaniwade,19.520454,72.916883,?70-90,?220-320
Dahar,29.31922,76.918442,?110-140,?350-450
Makrauli Kalan,28.944307,76.609736,?105-135,?340-440
Asanpur,26.299831,86.630217,?100-130,?350-450
Hebbalu,14.375564,76.106875,?75-95,?240-340
Chennasamudram,12.910943,79.40121,?70-90,?220-320
Songir,21.050995,74.785116,?85-110,?280-380
IGI Airport,28.543853,77.115435,?125-155,?380-480
Shahapur,15.357898,76.312781,?80-110,?250-350
Vanagari,16.290681,75.923324,?85-110,?280-380
BharthanKarjan,22.015027,73.115049,?90-120,?300-400
Deingpasoh,25.648846,92.047612,?110-140,?350-450
Thirupparaithurai,10.885791,78.557668,?75-95,?240-340
Manavasi,10.930934,78.215268,?80-110,?250-350
Lechchumanapatti,10.624244,78.747767,?70-90,?220-320
Vantada,23.61615,73.254472,?85-110,?280-380
Kathpur,23.410181,72.828618,?90-120,?300-400
Lambalakudi,10.299776,78.770713,?70-90,?220-320
Ahmedabad Vadodra Expressways,22.975844,72.650399,?120-150,?400-500
Attibele (BETL),12.776883,77.777119,?85-110,?280-380
Neelamangala  - Tumkur /Kulumepalya,13.114638,77.37463,?95-120,?320-420
Elevated Section/ Electronic City,12.847667,77.670866,?100-130,?350-450
Nagarhalla,16.292989,75.921069,?85-110,?280-380
Gabbur (MoRTH),15.318834,75.139696,?80-110,?250-350
Narendra (MoRTH),15.488902,74.969857,?75-95,?240-340
Pamban Bridge (MoRTH),9.283225,79.215127,?110-140,?350-450
Kalia Bhomora Bridge (MoRTH),26.567367,92.869461,?110-140,?350-450
Gangadhar Bridge (MoRTH),26.149881,89.811537,?110-140,?350-450
Baggad (MoRTH),25.592575,73.904897,?90-120,?300-400
Bagaliya (MoRTH),25.884014,74.160275,?85-110,?280-380
Bagodara (MoRTH),22.620565,72.161496,?90-120,?300-400
Kharpada (MoRTH),18.844713,73.094525,?95-120,?320-420
Jia Bridge (MoRTH),31.898237,77.148301,?85-110,?280-380
Savitri (MoRTH),18.084885,73.462503,?90-120,?300-400
Nashirabad (MoRTH),21.013505,75.670495,?85-110,?280-380
Fekri (MoRTH),21.039996,75.829168,?80-110,?250-350
Kharegaon (MoRTH),19.2121,73.006946,?85-110,?280-380
Moshi (MoRTH),18.605613,73.823404,?90-120,?300-400
Parvati Bridge (MoRTH),23.471246,77.071876,?95-120,?320-420
Chandloi/ Rajgurunagar (MoRTH),18.844296,73.881986,?100-130,?350-450
Ashoka DSC Katni bypass (MoRTH),23.888883,80.384806,?95-120,?320-420
Kawdipath (MoRTH),18.493223,73.992593,?90-120,?300-400
Kasurdi (MoRTH),18.48286,74.234706,?85-110,?280-380
Koshta (MoRTH),24.550197,81.346796,?80-110,?250-350
Kardha (MoRTH),21.139568,79.675405,?75-95,?240-340
Tiwasa (MoRTH),21.086207,78.066995,?85-110,?280-380
Nardana (MoRTH),21.181762,74.823119,?90-120,?300-400
Baretha (MoRTH),26.320743,78.272518,?95-120,?320-420
Wadakbal (MoRTH),17.534301,75.880075,?100-130,?350-450
Barahi (MoRTH),26.683159,78.917937,?95-120,?320-420
Bamanbore (MoRTH),22.409684,71.015587,?90-120,?300-400
Patancheru (Prograssive Construction Toll) (MoRTH),17.523428,78.273342,?85-110,?280-380
Rawason Bridge (MoRTH),29.842349,78.19098,?80-110,?250-350
Nandghat Bridge (MoRTH),21.766145,81.812198,?75-95,?240-340
Kharun (MoRTH),21.252543,81.536664,?85-110,?280-380
Kosa Nala (MoRTH),21.204731,81.337106,?90-120,?300-400
Kundannur (MoRTH),9.94307,76.318202,?95-120,?320-420
Akkulam (MoRTH),8.520122,76.89465,?100-130,?350-450
Varapuzha Bridge (MoRTH),10.074058,76.28012,?95-120,?320-420
Bhatwada (Godhra),22.792886,73.842871,?90-120,?300-400
Chollang,31.623756,75.640462,?85-110,?280-380
Chillakallu,16.885015,80.160654,?80-110,?250-350
Korlaphadu,17.159677,79.474848,?75-95,?240-340
Hitnal,15.323649,76.303646,?85-110,?280-380
Madrak,27.804002,78.087022,?90-120,?300-400
Baros,27.346247,78.032201,?95-120,?320-420
Khairabad (Karondi),27.558744,80.661034,?100-130,?350-450
Pithai,22.413798,72.957428,?95-120,?320-420
Vavadikhurd,22.792571,73.533274,?90-120,?300-400
Mulbagal,13.148469,78.290548,?85-110,?280-380
Kishorpur (Chandermore),24.563182,88.019993,?80-110,?250-350
Gopgram (Shibpur),24.150449,88.18629,?75-95,?240-340
Babina,25.216966,78.464471,?90-120,?300-400
Dahalapara,26.476288,90.712054,?110-140,?350-450
Niyamatpur Ekrotiya,28.814182,78.902248,?105-135,?340-440
Thriyakhetal,28.480289,79.283886,?100-130,?350-450
Guabari,26.476592,89.756535,?115-145,?360-460
Fulara,22.043538,79.418722,?85-110,?280-380
Chikhalikala,21.841921,78.433316,?80-110,?250-350
Jungawani,22.377896,79.151021,?85-110,?280-380
Jaitpur,22.548497,79.600413,?90-120,?300-400
Dakhina Sekhpur,26.524482,81.066094,?95-120,?320-420
Kelwad,21.471322,78.8726,?80-110,?250-350
Chullimada Hamlet (Pampampallam),10.81311,76.798051,?70-90,?220-320
Aliyapur,26.069752,80.163011,?95-120,?320-420
Khanna,25.543293,80.060095,?90-120,?300-400
Baragarh (Barhaguda),21.35447,83.681021,?85-110,?280-380
Ponnarimangalam,10.010336,76.257977,?65-85,?200-300
Ladpalwan,32.197881,75.533697,?110-140,?350-450
Waryam Nangal,31.731947,75.041365,?105-135,?340-440
Deederganj,25.570828,85.247807,?100-130,?350-450
Akhepura,27.50603,75.348401,?95-120,?320-420
Milanpur,21.864457,77.961508,?85-110,?280-380
Khambara,21.693812,78.387824,?80-110,?250-350
Patanswangi,21.343724,79.009038,?85-110,?280-380
Gegal,26.551347,74.780202,?90-120,?300-400
Pipalaz,26.158466,74.371725,?85-110,?280-380
Gadoi,21.425234,70.295437,?75-95,?240-340
Dari,20.961287,70.334349,?70-90,?220-320
Raha(Saragaon),26.245678,92.541521,?115-145,?360-460
Daboka,26.114657,92.875479,?110-140,?350-450
Nazira Khat,26.100258,91.879125,?115-145,?360-460
Mandal (Vyara),21.134676,73.478511,?85-110,?280-380
Bhatia,21.190249,72.869085,?80-110,?250-350
Luharali,28.497746,77.629298,?105-135,?340-440
Somna,28.062821,77.946047,?100-130,?350-450
Lakholi,21.20296,81.905328,?85-110,?280-380
Sundar Nagar,21.229353,81.607029,?90-120,?300-400
Raipur,26.063535,74.05947,?95-120,?320-420
Indranagar,25.828286,73.45492,?90-120,?300-400
Birami,25.371114,73.201486,?85-110,?280-380
Uthamam,25.033571,72.94353,?80-110,?250-350
Gaddurur,13.194218,78.545197,?75-95,?240-340
WEPL Mathani,21.139545,79.365105,?85-110,?280-380
Runni,26.373615,85.493984,?100-130,?350-450
S V Puram,13.525577,79.532925,?75-95,?240-340
Pattaraiperumbudur (temporary TP),13.150776,79.834675,?70-90,?220-320
Paat Sahanipur (Pipli),20.137113,85.83902,?100-130,?350-450
Methoon,24.420042,76.503896,?95-120,?320-420
Kaniyur,11.012827,77.073181,?110-140,?350-450
Mokha,22.934663,69.801655,?70-90,?220-320
Eethakota,16.715205,81.827876,?75-95,?240-340
Unguturu,16.823729,81.430664,?85-110,?280-380
Chagalmarri,14.979577,78.574764,?80-110,?250-350
Palempalli,14.513518,78.79121,?75-95,?240-340
Pahammawlein,25.99328,91.860491,?70-90,?220-320
Rohad,28.754563,76.795216,?115-145,?360-460
Kishorpura,25.17025,76.130522,?105-135,?340-440
Mandawada (Gomati),25.20385,73.814701,?90-120,?300-400
Negadiya,25.704011,74.061836,?95-120,?320-420
Surathkal,12.993098,74.792333,?90-120,?300-400
Bhiknoor,18.205251,78.398261,?85-110,?280-380
Kunwarpur,25.674873,82.32499,?95-120,?320-420
Nuruddinpur,26.035838,81.43825,?90-120,?300-400
Chuipali,21.299829,82.94286,?85-110,?280-380
Dhank,21.226901,82.422438,?80-110,?250-350
Vasad,22.453254,73.070539,?90-120,?300-400
Radhvanaj (Kheda),22.715971,72.740887,?95-120,?320-420
Madina Korsan,28.927049,76.442169,?105-135,?340-440
Ramayana,29.100833,75.885093,?110-140,?350-450
Para,25.788339,74.338933,?85-110,?280-380
Saidpur Patedha,25.802861,85.283461,?100-130,?350-450
Lilamba,26.084278,74.001389,?95-120,?320-420
Aaini,27.292105,81.54465,?100-130,?350-450
Gulalpurva,27.825548,81.527252,?105-135,?340-440
Sonvay (Indore - Khalghat),22.607365,75.794134,?90-120,?300-400
Chalakwadi,19.170738,74.074993,?75-95,?240-340
Hivargaon Pavsa,19.516452,74.201583,?80-110,?250-350
Nimbaniya Ki Dhani (Bayatu),25.865638,71.616734,?85-110,?280-380
Gundmi,13.47641,74.713082,?70-90,?220-320
Hazamady,13.108245,74.784562,?65-85,?200-300
Talapady,12.75958,74.874087,?60-80,?180-250
Kadthal,16.985586,78.50172,?80-110,?250-350
Konetipuram,16.608082,78.677722,?75-95,?240-340
Chinthapally,17.471578,79.980527,?85-110,?280-380
Lakshmipur,24.822455,87.966864,?110-140,?350-450
Chakseherdi (Gajol) Bagsarai,25.195872,88.182566,?115-145,?360-460
Mahanth Maniyari,26.038799,85.447437,?100-130,?350-450
Govindpur,25.590289,85.875945,?95-120,?320-420
Konder,26.537213,77.086068,?90-120,?300-400
Chila Chond,26.613002,77.515359,?85-110,?280-380
Raibha,27.177493,77.811532,?100-130,?350-450
Mada,33.024637,75.252118,?110-140,?350-450
Nashri,33.174771,75.303421,?105-135,?340-440
Banthadi,27.275167,74.351659,?85-110,?280-380
Tamdoli,26.870978,74.293475,?90-120,?300-400
Rupa Kheda,25.110565,73.988241,?85-110,?280-380
Mujras,25.274995,74.492879,?95-120,?320-420
SixML,29.810574,73.875389,?90-120,?300-400
Lasedi,28.712002,75.481566,?110-140,?350-450
Dhadhar,28.329757,75.05592,?105-135,?340-440
Shobhasar,27.76326,74.723371,?100-130,?350-450
Rapur,14.210397,79.560418,?95-120,?320-420
Chintalapalem,13.788513,79.589622,?75-95,?240-340
Badava,16.850428,80.633633,?70-90,?220-320
Shenbagampettai,10.158744,78.651128,?80-110,?250-350
Jasnathnagar,26.308858,72.914295,?65-85,?200-300
Motisar (Khanori),26.570811,72.327192,?90-120,?300-400
Morani (Pokaran),26.889721,71.981819,?85-110,?280-380
Mekalavaripalli,15.412411,79.497541,?80-110,?250-350
Raviguntapalli,15.197922,79.450868,?75-95,?240-340
Brahmanapalli,14.736039,79.049052,?70-90,?220-320
Hasanpur (Sainkul),21.147001,86.117538,?65-85,?200-300
Khantaghar (Dhenkikote),21.508544,85.826198,?100-130,?350-450
Banajodi (Padmapur),21.710167,85.5836,?95-120,?320-420
Khadda,24.522264,81.365223,?90-120,?300-400
Sonvarsaa,24.395853,81.802372,?85-110,?280-380
Landhari,29.292067,75.648213,?110-140,?350-450
Narwana,29.578554,76.088477,?105-135,?340-440
Badopatti,29.299141,75.819719,?100-130,?350-450
Chaudhriwas,28.99832,75.604417,?95-120,?320-420
Kalajhar,30.265789,76.148309,?90-120,?300-400
Badbar,30.247772,75.640226,?85-110,?280-380
Bhagan,29.060626,77.064081,?80-110,?250-350
Sosokhurd,23.548753,85.756866,?75-95,?240-340
Tand Balidih,23.668354,86.045229,?70-90,?220-320
Doli,26.062927,72.673202,?65-85,?200-300
Palaya Gandharvakottai,10.612499,79.0306,?60-80,?180-250
Mangalgi,17.745596,77.317882,?100-130,?350-450
Kamkole,17.645717,77.820114,?90-120,?300-400
Yedeshi,0,0,?85-110,?280-380
Tamalwadi,1,1,?95-120,?320-420
Deoria,28.930785,79.475734,?90-120,?300-400
Jogipura,24.097278,76.988952,?85-110,?280-380
Pagara,24.517835,77.186491,?80-110,?250-350
Sakatpura(LHS)(Staggered),25.155846,75.781932,?75-95,?240-340
Nayagaon(RHS) (Staggered),25.132506,75.796565,?70-90,?220-320
Mandava,21.702698,73.059975,?65-85,?200-300
Basapuram,14.708361,78.872406,?60-80,?180-250
Nannur,15.741038,78.070783,?100-130,?350-450
Purankhedi,25.245762,77.615602,?95-120,?320-420
Banskopa,23.491222,87.376575,?90-120,?300-400
Semri,25.637124,78.875044,?85-110,?280-380
Banushi,28.941,79.8157,?80-110,?250-350
Hathitala,25.562272,71.407666,?75-95,?240-340
Bor Charnan,25.105861,71.549558,?70-90,?220-320
Harimma,27.26549,73.856074,?65-85,?200-300
Nimbi Jodha,27.30534,74.1915,?60-80,?180-250
Jindpur,25.865,80.691,?100-130,?350-450
Aihar,26.197,81.0326,?95-120,?320-420
Limdi,25.467,41.293,?90-120,?300-400
Milk Majra,30.21128,77.194411,?85-110,?280-380
Durgamvaripalli,13.7143,78.873269,?80-110,?250-350
Buchireddypalem,14.543265,79.862348,?75-95,?240-340
DC PALLI,14.6854,79.5156,?70-90,?220-320
Zidda,40.32217,9.3264,?65-85,?200-300
Leherabega,30.233092,75.102496,?60-80,?180-250
Paind,30.4,75.5,?110-140,?350-450
Dhareri jattan,76.499529,30.39255,?105-135,?340-440
Azizpur,76.759305,30.5930556,?100-130,?350-450
Bhavdeen,29.29914,75.81971,?95-120,?320-420
Halaharvi,15.818714,77.453999,?85-110,?280-380
Ramdevra,27.0175781,72.0194626,?95-120,?320-420
LATHI,27.0298347,71.446434,?90-120,?300-400
Mudkhera,25.668,77.73,?85-110,?280-380
Panihaar,26.0978,78.0158,?80-110,?250-350
Salasar,28.00137,73.06546,?95-120,?320-420
Nokhra,27.45006,72.40303,?90-120,?300-400
Kheerwa,27.2827777,72.3230556,?85-110,?280-380
Khuian Malkan,29.880727,74.793736,?110-140,?350-450
Pasyih,25.4817,92.2882,?115-145,?360-460
Lomshinong,25.706,92.3756,?110-140,?350-450
Davuluru,16.4126432,80.7859938,?80-110,?250-350
Pandutala,80.8085833,22.3905556,?70-90,?220-320
Thiruppachethi,9.780999,78.335299,?105-135,?340-440
